Date,Item,Category,Vendor,Amount,Currency,Payment Method,Project Area,Notes
2026-06-04,MidJourney monthly subscription,Software,MidJourney,10.00,USD,Card,tools,Recurring monthly cost
2026-06-04,GitHub Copilot monthly subscription,Software,GitHub,10.00,USD,Card,tools,Recurring monthly cost
